0231322517	974.9	9/7/2017	10:34:58
0231322445	998.3	9/7/2017	10:35:06
0231322462	968.1	9/7/2017	10:35:10
0231322484	1023.5	9/7/2017	10:35:17
0231322512	960.3	9/7/2017	10:35:21
0231322487	1032	9/7/2017	10:35:25
0231322535	1024.4	9/7/2017	10:35:28
0231322508	986.2	9/7/2017	10:35:32
0231322488	975.6	9/7/2017	10:35:36
0231322467	987.9	9/7/2017	10:35:42
0231322491	1037.9	9/7/2017	10:35:46
0231322519	1026.6	9/7/2017	10:35:50
0231322509	968.2	9/7/2017	10:35:59
0231322486	1013.6	9/7/2017	10:36:07
0231322494	985.8	9/7/2017	10:36:14
0231322465	1019.7	9/7/2017	10:36:18
0231322471	965.5	9/7/2017	10:36:22
0231322460	971.2	9/7/2017	10:36:27
0231322432	985.9	9/7/2017	10:36:31
0231322384	969.2	9/7/2017	10:36:35
0231322410	998.5	9/7/2017	10:36:38
0231322430	965.7	9/7/2017	10:36:42
0231322429	972.9	9/7/2017	10:36:46
0231322354	955.7	9/7/2017	10:37:20
0231322493	1006.5	9/7/2017	10:37:27
0231322443	1040.7	9/7/2017	10:37:35
0231322464	1012.1	9/7/2017	10:37:39
0231322447	973.8	9/7/2017	10:37:47
0231322510	1040.2	9/7/2017	10:37:55
0231322463	1074.3	9/7/2017	10:38:17
0231322461	1004.5	9/7/2017	10:38:21
0231322468	963.7	9/7/2017	10:38:26
0231322513	988.3	9/7/2017	10:38:31
0231322470	1043.1	9/7/2017	10:38:35
0231322515	1025.2	9/7/2017	10:38:39
0231322408	1026	9/7/2017	10:38:43
0231322401	1014.4	9/7/2017	10:38:47
0231322385	972.4	9/7/2017	10:38:51
0231322406	990.3	9/7/2017	10:38:55
0231322427	983.4	9/7/2017	10:38:58
0231322409	999.5	9/7/2017	10:39:02
0231323126	972.7	9/7/2017	10:39:06
0231323169	1009.2	9/7/2017	10:39:10
0231323155	967.2	9/7/2017	10:39:14
0231323125	986	9/7/2017	10:39:17
0231323151	971.2	9/7/2017	10:39:21
0231323123	969.8	9/7/2017	10:39:25
0231322379	985.2	9/7/2017	10:39:30
0231322376	1028.4	9/7/2017	10:39:34
0231322382	1017.9	9/7/2017	10:39:38
0231322425	994.5	9/7/2017	10:39:43
0231322360	961.6	9/7/2017	10:39:46
0231322352	965	9/7/2017	10:39:50
0231322435	1047.6	9/7/2017	10:39:53
0231322407	993.5	9/7/2017	10:39:58
0231322386	996.4	9/7/2017	10:40:01
0231322387	1036.5	9/7/2017	10:40:05
0231322356	984.8	9/7/2017	10:40:09
0231322411	987.8	9/7/2017	10:40:12
0231322358	978.6	9/7/2017	10:40:16
0231322404	996.4	9/7/2017	10:40:20
0231322359	971.7	9/7/2017	10:40:24
0231322400	981.6	9/7/2017	10:40:30
0231322378	980.8	9/7/2017	10:40:33
0231323146	977.8	9/7/2017	10:40:37
0231323153	976.1	9/7/2017	10:40:40
0231323176	987.2	9/7/2017	10:40:45
0231323192	965.3	9/7/2017	10:40:48
0231323145	974.9	9/7/2017	10:40:52
0231323148	976.9	9/7/2017	10:40:56
0231323120	1014.2	9/7/2017	10:41:00
0231323174	1053.6	9/7/2017	10:41:04
0231323193	991.6	9/7/2017	10:41:14
0231323198	993.1	9/7/2017	10:41:19
0231323202	1001.5	9/7/2017	10:41:24
0231323201	1127.6	9/7/2017	10:41:28
0231323194	1040.2	9/7/2017	10:41:32
0231323149	1031.8	9/7/2017	10:41:36
0231323203	1039.1	9/7/2017	10:41:40
0231323129	1040.6	9/7/2017	10:41:44
0231323121	1057.7	9/7/2017	10:41:48
0231323127	1021	9/7/2017	10:41:53
0231323196	1017.5	9/7/2017	10:41:58
0231323168	988.7	9/7/2017	10:42:02
0231323124	991.3	9/7/2017	10:42:06
0231323150	974.2	9/7/2017	10:42:09
0231323178	1028	9/7/2017	10:42:13
0231323173	998.7	9/7/2017	10:42:16
0231323171	1028.7	9/7/2017	10:42:19
0231323172	993.2	9/7/2017	10:42:23
0231323177	985.1	9/7/2017	10:42:27
0231323197	998.7	9/7/2017	10:42:31
0231323170	1013	9/7/2017	10:42:34
0231323152	982.7	9/7/2017	10:42:37
